# ialpha itau branch_phase
       1        1   1.1843416149661851E-01
 
       1        2   1.1843412096258504E-01
 
       1        3   1.1843405617118553E-01
 
       1        4   1.1843395963092654E-01
 
       1        5   1.1843382486622064E-01
 
       1        6   1.1843364434519577E-01
 
       1        7   1.1843340887293016E-01
 
       1        8   1.1843311069863856E-01
 
       1        9   1.1843274147866562E-01
 
       1       10   1.1843229099360414E-01
 
       1       11   1.1843175074312855E-01
 
       1       12   1.1843111243184395E-01
 
       1       13   1.1843036563046913E-01
 
       1       14   1.1842950169737101E-01
 
       1       15   1.1842851329415216E-01
 
       1       16   1.1842739069343788E-01
 
       1       17   1.1842612579101938E-01
 
       1       18   1.1842471309246587E-01
 
       1       19   1.1842314453863959E-01
 
       1       20   1.1842141329664936E-01
 
       1       21   1.1841951650745050E-01
 
       1       22   1.1841744875606569E-01
 
       1       23   1.1841520525354582E-01
 
       1       24   1.1841278639670036E-01
 
       1       25   1.1841019035729823E-01
 
       1       26   1.1840741517360770E-01
 
       1       27   1.1840446489613210E-01
 
       1       28   1.1840134215192928E-01
 
       1       29   1.1839804851164905E-01
 
       1       30   1.1839459189731238E-01
 
       1       31   1.1839098009104296E-01
 
       1       32   1.1838721876814445E-01
 
       1       33   1.1838331977788233E-01
 
       1       34   1.1837929651277329E-01
 
       1       35   1.1837515916134991E-01
 
       1       36   1.1837092339257585E-01
 
       1       37   1.1836660836225316E-01
 
       1       38   1.1836222899244198E-01
 
       1       39   1.1835780450910166E-01
 
       1       40   1.1835335963100702E-01
 
       1       41   1.1834891402994550E-01
 
       1       42   1.1834449009004480E-01
 
       1       43   1.1834011749676195E-01
 
       1       44   1.1833582047765978E-01
 
       1       45   1.1833162407067285E-01
 
       1       46   1.1832756190241528E-01
 
       1       47   1.1832366236346695E-01
 
       1       48   1.1831995254020206E-01
 
       1       49   1.1831646859002790E-01
 
       1       50   1.1831324247464382E-01
 
       1       51   1.1831030254999973E-01
 
       1       52   1.1830768589158737E-01
 
       1       53   1.1830542716595442E-01
 
       1       54   1.1830355506498229E-01
 
       1       55   1.1830210586172041E-01
 
       1       56   1.1830111577536148E-01
 
       1       57   1.1830061278442038E-01
 
       1       58   1.1830063060721852E-01
 
       1       59   1.1830120558586088E-01
 
       1       60   1.1830236386629576E-01
 
       1       61   1.1830413491319962E-01
 
       1       62   1.1830655349920517E-01
 
       1       63   1.1830964280103347E-01
 
       1       64   1.1831342647566145E-01
 
       1       65   1.1831793579187024E-01
 
       1       66   1.1832318986048000E-01
 
       1       67   1.1832920521443603E-01
 
       1       68   1.1833600747291984E-01
 
       1       69   1.1834361069811627E-01
 
       1       70   1.1835202322979031E-01
 
       1       71   1.1836126285877693E-01
 
       1       72   1.1837133773041758E-01
 
       1       73   1.1838224710224868E-01
 
       1       74   1.1839399901604473E-01
 
       1       75   1.1840659486646070E-01
 
       1       76   1.1842002417700941E-01
 
       1       77   1.1843428369736300E-01
 
       1       78   1.1844936728223526E-01
 
       1       79   1.1846525435828716E-01
 
       1       80   1.1848192930594095E-01
 
       1       81   1.1849937771176572E-01
 
       1       82   1.1851756887563790E-01
 
       1       83   1.1853647427334697E-01
 
       1       84   1.1855607056925391E-01
 
       1       85   1.1857631727444315E-01
 
       1       86   1.1859717302611318E-01
 
       1       87   1.1861860499624399E-01
 
       1       88   1.1864056363788125E-01
 
       1       89   1.1866299545074510E-01
 
       1       90   1.1868585765117159E-01
 
       1       91   1.1870909278506458E-01
 
       1       92   1.1873263643369872E-01
 
       1       93   1.1875643574117734E-01
 
       1       94   1.1878042678899108E-01
 
       1       95   1.1880453584544140E-01
 
       1       96   1.1882870044800348E-01
 
       1       97   1.1885285179559199E-01
 
       1       98   1.1887690882560992E-01
 
       1       99   1.1890080053290634E-01
 
       1      100   1.1892445490514846E-01
 
       1      101   1.1894778587340811E-01
 
       1      102   1.1897071553237498E-01
 
       1      103   1.1899317037037502E-01
 
       1      104   1.1901506193208990E-01
 
       1      105   1.1903630759023355E-01
 
       1      106   1.1905683403446611E-01
 
       1      107   1.1907655327930873E-01
 
       1      108   1.1909538062564057E-01
 
       1      109   1.1911324459997780E-01
 
       1      110   1.1913006071117077E-01
 
       1      111   1.1914574521284865E-01
 
       1      112   1.1916023001999806E-01
 
       1      113   1.1917343725407210E-01
 
       1      114   1.1918528726818156E-01
 
       1      115   1.1919571705226080E-01
 
       1      116   1.1920465829862947E-01
 
       1      117   1.1921203856619539E-01
 
       1      118   1.1921780182484744E-01
 
       1      119   1.1922189196360031E-01
 
       1      120   1.1922424674023596E-01
 
       1      121   1.1922481913719177E-01
 
       1      122   1.1922356745638538E-01
 
       1      123   1.1922044244864760E-01
 
       1      124   1.1921540816847989E-01
 
       1      125   1.1920843906828987E-01
 
       1      126   1.1919950140451623E-01
 
       1      127   1.1918857229098784E-01
 
       1      128   1.1917564352646341E-01
 
