# itau tau weighted_probability_total weighted_delta_from_first max_k_index max_k max_k_weighted_probability
# mature_reference=sum_mom uses |mom|^2*k^2*sin(theta)*dk*dtheta*dphi
# dk_dtheta_dphi   6.2375000000000007E-02   1.5707963267948966E-01   6.2831853071795862E+00
       1   0.0000000000000000E+00   1.6878167730652784E-03   0.0000000000000000E+00       10   5.6637499999999996E-01   9.7904484045408224E-05
       2   8.6822047244094480E-01   1.7082540633159924E-03   2.0437290250713974E-05        9   5.0400000000000000E-01   1.0232139767986582E-04
       3   1.7364409448818896E+00   1.7218780812988765E-03   3.4061308233598094E-05        9   5.0400000000000000E-01   1.0560841592489939E-04
       4   2.6046614173228346E+00   1.7172998010881162E-03   2.9483028022837809E-05        7   3.7924999999999998E-01   1.0477951879057145E-04
       5   3.4728818897637792E+00   1.6837466392481818E-03  -4.0701338170966248E-06        7   3.7924999999999998E-01   1.0036629284444410E-04
       6   4.3411023622047242E+00   1.6268780396900737E-03  -6.0938733375204713E-05        7   3.7924999999999998E-01   9.2940457459660662E-05
       7   5.2093228346456693E+00   1.5677854752609197E-03  -1.2003129780435869E-04        7   3.7924999999999998E-01   8.4250177614422710E-05
       8   6.0775433070866134E+00   1.5273242742666862E-03  -1.6049249879859220E-04        7   3.7924999999999998E-01   7.5857637999291637E-05
       9   6.9457637795275584E+00   1.5146526390751658E-03  -1.7316413399011258E-04       10   5.6637499999999996E-01   7.0327140663104489E-05
      10   7.8139842519685034E+00   1.5290854355874519E-03  -1.5873133747782656E-04       10   5.6637499999999996E-01   8.4267570293368652E-05
      11   8.6822047244094485E+00   1.5641263078826377E-03  -1.2369046518264076E-04       10   5.6637499999999996E-01   9.5824101404658511E-05
      12   9.5504251968503944E+00   1.6077056642324853E-03  -8.0111108832793152E-05       10   5.6637499999999996E-01   1.0089495538001685E-04
      13   1.0418645669291339E+01   1.6438960729151415E-03  -4.3920700150136896E-05        9   5.0400000000000000E-01   9.8092574234375161E-05
      14   1.1286866141732284E+01   1.6610339630674029E-03  -2.6782809997875565E-05        9   5.0400000000000000E-01   1.0327858088233110E-04
      15   1.2155086614173227E+01   1.6611086960480088E-03  -2.6708077017269585E-05        9   5.0400000000000000E-01   1.0307099679354715E-04
      16   1.3023307086614173E+01   1.6573887279124019E-03  -3.0428045152876542E-05        7   3.7924999999999998E-01   1.0735111789808569E-04
      17   1.3891527559055117E+01   1.6617793217140134E-03  -2.6037451351264979E-05        7   3.7924999999999998E-01   1.0938833002573388E-04
      18   1.4759748031496061E+01   1.6736031567875188E-03  -1.4213616277759626E-05        7   3.7924999999999998E-01   1.0476889162939824E-04
      19   1.5627968503937007E+01   1.6781248946128972E-03  -9.6918784523811891E-06        7   3.7924999999999998E-01   9.4688829627759665E-05
      20   1.6496188976377955E+01   1.6584428461346727E-03  -2.9373926930605695E-05        4   1.9212499999999999E-01   8.4733179892288894E-05
      21   1.7364409448818897E+01   1.6124054534089475E-03  -7.5411319656330973E-05       10   5.6637499999999996E-01   8.0269195360129210E-05
