# itau tau weighted_probability_total weighted_delta_from_first max_k_index max_k max_k_weighted_probability
# mature_reference=sum_mom uses |mom|^2*k^2*sin(theta)*dk*dtheta*dphi
# dk_dtheta_dphi   3.8984375000000002E-02   1.0471975511965977E-01   6.2831853071795862E+00
       1   0.0000000000000000E+00   1.3470533054284339E-01   5.5511151231257827E-17        7   2.3890625000000001E-01   9.3170471538849761E-03
       2   8.6822047244094480E-01   1.3919454700877718E-01   4.4892164659338374E-03        7   2.3890625000000001E-01   9.7791706027511097E-03
       3   1.7364409448818896E+00   1.4283805126373994E-01   8.1327207208966024E-03       18   6.6773437499999999E-01   1.0145540498670030E-02
       4   2.6046614173228346E+00   1.4572944460501941E-01   1.1024114062176071E-02       18   6.6773437499999999E-01   1.0772175607508743E-02
       5   3.4728818897637792E+00   1.4785512539464124E-01   1.3149794851797902E-02       18   6.6773437499999999E-01   1.1222653913721351E-02
       6   4.3411023622047242E+00   1.4930673259733565E-01   1.4601402054492313E-02       18   6.6773437499999999E-01   1.1342710506639424E-02
       7   5.2093228346456693E+00   1.5021480978493559E-01   1.5509479242092256E-02       18   6.6773437499999999E-01   1.1112517472142400E-02
       8   6.0775433070866134E+00   1.5037092335684724E-01   1.5665592814003898E-02       18   6.6773437499999999E-01   1.0665734291090278E-02
       9   6.9457637795275584E+00   1.4936375365659105E-01   1.4658423113747709E-02       17   6.2875000000000003E-01   1.0223548318407695E-02
      10   7.8139842519685034E+00   1.4710629556590424E-01   1.2400965023060900E-02        7   2.3890625000000001E-01   1.0197528010000571E-02
      11   8.6822047244094485E+00   1.4395013989515754E-01   9.2448093523141983E-03        7   2.3890625000000001E-01   1.0088435938760455E-02
      12   9.5504251968503944E+00   1.4034650188582282E-01   5.6411713429794785E-03        7   2.3890625000000001E-01   9.8235135853275198E-03
      13   1.0418645669291339E+01   1.3658913413334145E-01   1.8838035904981121E-03       18   6.6773437499999999E-01   9.4387620645137987E-03
      14   1.1286866141732284E+01   1.3303310786706898E-01  -1.6722226757743541E-03       18   6.6773437499999999E-01   9.2099780878097167E-03
      15   1.2155086614173227E+01   1.3020892588279268E-01  -4.4964046600506624E-03       18   6.6773437499999999E-01   8.9414866758382380E-03
      16   1.3023307086614173E+01   1.2862137426627238E-01  -6.0839562765709621E-03       18   6.6773437499999999E-01   8.7668155824434518E-03
      17   1.3891527559055117E+01   1.2848637640066377E-01  -6.2189541421795724E-03       18   6.6773437499999999E-01   8.8015452893924779E-03
      18   1.4759748031496061E+01   1.2964364001271694E-01  -5.0616905301263948E-03       18   6.6773437499999999E-01   9.0559024018824139E-03
      19   1.5627968503937007E+01   1.3170921848489681E-01  -2.9961120579465317E-03       18   6.6773437499999999E-01   9.4233094593548523E-03
      20   1.6496188976377955E+01   1.3416213854646636E-01  -5.4319199637697935E-04       18   6.6773437499999999E-01   9.7453774721822876E-03
      21   1.7364409448818897E+01   1.3653223047614829E-01   1.8268999333049540E-03        7   2.3890625000000001E-01   1.0072675027837943E-02
      22   1.8232629921259843E+01   1.3851969811849313E-01   3.8143675756497908E-03        7   2.3890625000000001E-01   1.0482390500190956E-02
      23   1.9100850393700789E+01   1.3993690997770517E-01   5.2315794348618272E-03        7   2.3890625000000001E-01   1.0568054167398505E-02
      24   1.9969070866141735E+01   1.4074058543905271E-01   6.0352548962093744E-03        7   2.3890625000000001E-01   1.0341064691044332E-02
      25   2.0837291338582677E+01   1.4107357992034741E-01   6.3682493775040760E-03        7   2.3890625000000001E-01   9.9076774798918348E-03
      26   2.1705511811023623E+01   1.4131173658430768E-01   6.6064060414643411E-03       18   6.6773437499999999E-01   9.6821663831410162E-03
      27   2.2573732283464569E+01   1.4185778183197081E-01   7.1524512891274761E-03       14   5.1179687500000004E-01   9.8286719408628483E-03
      28   2.3441952755905511E+01   1.4281941761867140E-01   8.1140870758280581E-03       14   5.1179687500000004E-01   1.0228630870416380E-02
      29   2.4310173228346454E+01   1.4395624369275539E-01   9.2509131499120545E-03       14   5.1179687500000004E-01   1.0494736341742313E-02
      30   2.5178393700787399E+01   1.4494012502585177E-01   1.0234794483008430E-02       14   5.1179687500000004E-01   1.0593879729208623E-02
      31   2.6046614173228345E+01   1.4555355936122605E-01   1.0848228818382710E-02       14   5.1179687500000004E-01   1.0474749887216193E-02
      32   2.6914834645669288E+01   1.4556138325816620E-01   1.0856052715322861E-02       17   6.2875000000000003E-01   1.0394807949516903E-02
      33   2.7783055118110234E+01   1.4472020184529544E-01   1.0014871302452100E-02       17   6.2875000000000003E-01   1.0173713703744633E-02
      34   2.8651275590551180E+01   1.4290719249430883E-01   8.2018619514654945E-03       18   6.6773437499999999E-01   1.0152696123429656E-02
      35   2.9519496062992122E+01   1.4022947818155490E-01   5.5241476387115629E-03       18   6.6773437499999999E-01   1.0101034704145693E-02
      36   3.0387716535433068E+01   1.3703591313631369E-01   2.3305825934703539E-03        7   2.3890625000000001E-01   9.8420615386355780E-03
      37   3.1255937007874014E+01   1.3371559778043526E-01  -9.8973276240807428E-04        7   2.3890625000000001E-01   9.6360973079168636E-03
      38   3.2124157480314963E+01   1.3066554998673416E-01  -4.0397805561091793E-03        7   2.3890625000000001E-01   9.4189088293928427E-03
      39   3.2992377952755909E+01   1.2833057831334807E-01  -6.3747522294952674E-03        7   2.3890625000000001E-01   9.2248198109558498E-03
      40   3.3860598425196855E+01   1.2715288378874290E-01  -7.5524467541004392E-03        7   2.3890625000000001E-01   9.0897588129246788E-03
      41   3.4728818897637794E+01   1.2745422725115041E-01  -7.2511032916929286E-03        7   2.3890625000000001E-01   9.0381942429642922E-03
      42   3.5597039370078740E+01   1.2928276768866109E-01  -5.4225628541822446E-03        7   2.3890625000000001E-01   9.0685250279925207E-03
