# itau tau ik k itheta theta iphi phi probability
       1   0.0000000000000000E+00        1   5.0000000000000001E-03        1   0.0000000000000000E+00        1   0.0000000000000000E+00   8.5697057760059110E+00
       1   0.0000000000000000E+00        2   6.7375000000000004E-02        1   0.0000000000000000E+00        1   0.0000000000000000E+00   1.2226977220597659E+00
       1   0.0000000000000000E+00        3   1.2975000000000000E-01        1   0.0000000000000000E+00        1   0.0000000000000000E+00   7.8918566108222077E-01
       1   0.0000000000000000E+00        4   1.9212499999999999E-01        1   0.0000000000000000E+00        1   0.0000000000000000E+00   5.1052193023163883E-01
       1   0.0000000000000000E+00        5   2.5450000000000000E-01        1   0.0000000000000000E+00        1   0.0000000000000000E+00   3.1895088939457361E-01
       1   0.0000000000000000E+00        6   3.1687500000000002E-01        1   0.0000000000000000E+00        1   0.0000000000000000E+00   5.1163369991657170E-01
       1   0.0000000000000000E+00        7   3.7924999999999998E-01        1   0.0000000000000000E+00        1   0.0000000000000000E+00   5.4578053157637452E-01
       1   0.0000000000000000E+00        8   4.4162499999999999E-01        1   0.0000000000000000E+00        1   0.0000000000000000E+00   3.5570236084927603E-01
       1   0.0000000000000000E+00        9   5.0400000000000000E-01        1   0.0000000000000000E+00        1   0.0000000000000000E+00   1.0298097209733481E-01
       1   0.0000000000000000E+00       10   5.6637499999999996E-01        1   0.0000000000000000E+00        1   0.0000000000000000E+00   7.9597851225954072E-02
       1   0.0000000000000000E+00       11   6.2875000000000003E-01        1   0.0000000000000000E+00        1   0.0000000000000000E+00   8.0451695205637302E-02
       1   0.0000000000000000E+00       12   6.9112499999999999E-01        1   0.0000000000000000E+00        1   0.0000000000000000E+00   4.5848047315926836E-02
       1   0.0000000000000000E+00       13   7.5349999999999995E-01        1   0.0000000000000000E+00        1   0.0000000000000000E+00   4.1459971889944491E-02
       1   0.0000000000000000E+00       14   8.1587500000000002E-01        1   0.0000000000000000E+00        1   0.0000000000000000E+00   3.9535188004661201E-02
       1   0.0000000000000000E+00       15   8.7824999999999998E-01        1   0.0000000000000000E+00        1   0.0000000000000000E+00   3.1006560648553831E-02
       1   0.0000000000000000E+00       16   9.4062500000000004E-01        1   0.0000000000000000E+00        1   0.0000000000000000E+00   2.2606288963997627E-02
       1   0.0000000000000000E+00       17   1.0029999999999999E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   1.7104059913983314E-02
       1   0.0000000000000000E+00       18   1.0653750000000000E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   1.3513050063903624E-02
       1   0.0000000000000000E+00       19   1.1277500000000000E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   7.2319122308926575E-03
       1   0.0000000000000000E+00       20   1.1901250000000001E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   4.0137426000870320E-03
       1   0.0000000000000000E+00       21   1.2524999999999999E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   1.8188650482894859E-03
       1   0.0000000000000000E+00       22   1.3148750000000000E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   1.2830802161807149E-03
       1   0.0000000000000000E+00       23   1.3772500000000001E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   1.2215812548388690E-03
       1   0.0000000000000000E+00       24   1.4396249999999999E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   2.5947902904921498E-04
       1   0.0000000000000000E+00       25   1.5020000000000000E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   1.9907142626151521E-05
       1   0.0000000000000000E+00       26   1.5643750000000001E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   2.6161021999621971E-04
       1   0.0000000000000000E+00       27   1.6267499999999999E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   2.0813177484952291E-04
       1   0.0000000000000000E+00       28   1.6891250000000000E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   1.5591110994327365E-04
       1   0.0000000000000000E+00       29   1.7515000000000001E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   1.3611240815127036E-05
       1   0.0000000000000000E+00       30   1.8138749999999999E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   1.4441905258429135E-04
       1   0.0000000000000000E+00       31   1.8762500000000000E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   1.8441547295287318E-04
       1   0.0000000000000000E+00       32   1.9386250000000000E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   9.4814557940416420E-05
       1   0.0000000000000000E+00       33   2.0009999999999999E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   9.3818675176466197E-05
       1   0.0000000000000000E+00       34   2.0633750000000002E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   5.4103531837409724E-05
       1   0.0000000000000000E+00       35   2.1257500000000000E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   2.1576517401306191E-05
       1   0.0000000000000000E+00       36   2.1881249999999999E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   5.2222787959253343E-05
       1   0.0000000000000000E+00       37   2.2505000000000002E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   6.4434377603079935E-05
       1   0.0000000000000000E+00       38   2.3128750000000000E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   8.2567683607467045E-05
       1   0.0000000000000000E+00       39   2.3752499999999999E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   3.6908472261754029E-05
       1   0.0000000000000000E+00       40   2.4376250000000002E+00        1   0.0000000000000000E+00        1   0.0000000000000000E+00   2.5186915736307955E-05
       1   0.0000000000000000E+00        1   5.0000000000000001E-03        2   1.5707963267948966E-01        1   0.0000000000000000E+00   3.5725640707728434E+00
       1   0.0000000000000000E+00        2   6.7375000000000004E-02        2   1.5707963267948966E-01        1   0.0000000000000000E+00   7.2104315130211993E-01
       1   0.0000000000000000E+00        3   1.2975000000000000E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   5.2806366725665976E-01
       1   0.0000000000000000E+00        4   1.9212499999999999E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   3.7930308755017628E-01
       1   0.0000000000000000E+00        5   2.5450000000000000E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   2.6881025267679254E-01
       1   0.0000000000000000E+00        6   3.1687500000000002E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   4.2724752273001709E-01
       1   0.0000000000000000E+00        7   3.7924999999999998E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   4.2646028500825972E-01
       1   0.0000000000000000E+00        8   4.4162499999999999E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   2.5519206239513820E-01
       1   0.0000000000000000E+00        9   5.0400000000000000E-01        2   1.5707963267948966E-01        1   0.0000000000000000E+00   7.3042896096871451E-02
